1,Licență MV/Patologie și clinică medicală,0,Disfagie de ordinul II apare în:,faringită,stomatită,esofagită
2,Licență MV/Patologie și clinică medicală,0,"În stomatita catarală, tratamentul local se face cu:",albastru de metilen 1-3%,tinctură de iod,apă oxigenată
3,Licență MV/Patologie și clinică medicală,1,"În paralizia faringelui, reflexul de deglutiţie este:",prezent,absent,diminuat
4,Licență MV/Patologie și clinică medicală,0,Tratamentul în paralizia faringelui se face cu:,vitamina B1,vitamina K,vitamina D
5,Licență MV/Patologie și clinică medicală,2,În obstrucţia esofagului se administrează:,antibiotice,antihistaminice,miorelaxante
6,Licență MV/Patologie și clinică medicală,0,"Medicamentos, în colică la cal se administrează:",Finadyne,Pilocarpină,"Sulfatiazol, iv"
7,Licență MV/Patologie și clinică medicală,2,În dispepsia hipoclorhidrică se administrează:,vasoperif,ulei de ricin,acidopeps
8,Licență MV/Patologie și clinică medicală,1,Dispepsia hiperclorhidrică se tratează cu:,Rumisan,Ulcerotrat,Acid lactic 10%
9,Licență MV/Patologie și clinică medicală,0,În enteroragie se administrează:,Venostat,Istizin,Ufrix
10,Licență MV/Patologie și clinică medicală,0,În gastrita catarală se administrează:,Almagel A,Sulfat de magneziu,Nefrix
11,Licență MV/Patologie și clinică medicală,2,Cu efecte hepatoprotectoare se folosesc:,Metenamin,Metoclopramid,Mecopar
12,Licență MV/Patologie și clinică medicală,0,"În icterul mecanic, culoarea mucoaselor este:",galben-citrin,galben-portocaliu,hiperemiate
13,Licență MV/Patologie și clinică medicală,2,"Prin puncţia abdominală, în ascită se obţine:",sânge,exsudat,transsudat
14,Licență MV/Patologie și clinică medicală,1,"La cal, peritonita este:",cronică şi localizată,acută şi generalizată,cronică
15,Licență MV/Patologie și clinică medicală,0,"La bovine, peritonita este:",cronică şi localizată,acută,acută şi localizată
16,Licență MV/Patologie și clinică medicală,1,"În hemoperitoneu, mucoasele sunt:",icterice,anemice,congestionate
17,Licență MV/Patologie și clinică medicală,1,"În hemoptizie, sediul hemoragiei este:",gastric,pulmonar,nazal
18,Licență MV/Patologie și clinică medicală,0,În hemoptizie se percep:,raluri bronho-alveolare umede,suflu pleuretic,suflu tubar
19,Licență MV/Patologie și clinică medicală,1,În hemoptizie se administrează:,Atropină,Etamsilat,Pilocarpină
20,Licență MV/Patologie și clinică medicală,2,În edemul laringian de natură alergică se administrează:,Furosemid,Propamicin,Borogluconat de calciu
